size,view,contour_width_mm,contour_height_mm,canvas_width_mm,canvas_height_mm,file
1,AP,52.79661,150.36107,54.79661,152.36107,AP/Avenir_Standard_Right_Size_01_AP.svg
1,Lateral,14.66102,151.47868,16.66102,153.47868,Lateral/Avenir_Standard_Right_Size_01_Lateral.svg
2,AP,53.51397,157.03474,55.51397,159.03474,AP/Avenir_Standard_Right_Size_02_AP.svg
2,Lateral,14.81795,157.98074,16.81795,159.98074,Lateral/Avenir_Standard_Right_Size_02_Lateral.svg
3,AP,54.62256,162.36892,56.62256,164.36892,AP/Avenir_Standard_Right_Size_03_AP.svg
3,Lateral,14.92791,164.17397,16.92791,166.17397,Lateral/Avenir_Standard_Right_Size_03_Lateral.svg
4,AP,55.67797,168.69223,57.67797,170.69223,AP/Avenir_Standard_Right_Size_04_AP.svg
4,Lateral,15.0,169.71927,17.0,171.71927,Lateral/Avenir_Standard_Right_Size_04_Lateral.svg
5,AP,56.46259,175.39492,58.46259,177.39492,AP/Avenir_Standard_Right_Size_05_AP.svg
5,Lateral,15.98639,176.33929,17.98639,178.33929,Lateral/Avenir_Standard_Right_Size_05_Lateral.svg
6,AP,57.84148,181.50567,59.84148,183.50567,AP/Avenir_Standard_Right_Size_06_AP.svg
6,Lateral,16.27319,182.53695,18.27319,184.53695,Lateral/Avenir_Standard_Right_Size_06_Lateral.svg
7,AP,59.64467,187.03863,61.64467,189.03863,AP/Avenir_Standard_Right_Size_07_AP.svg
7,Lateral,16.83587,188.24034,18.83587,190.24034,Lateral/Avenir_Standard_Right_Size_07_Lateral.svg
8,AP,62.29924,192.67079,64.29924,194.67079,AP/Avenir_Standard_Right_Size_08_AP.svg
8,Lateral,17.32883,194.21559,19.32883,196.21559,Lateral/Avenir_Standard_Right_Size_08_Lateral.svg
9,AP,64.3824,199.15836,66.3824,201.15836,AP/Avenir_Standard_Right_Size_09_AP.svg
9,Lateral,17.6819,200.3607,19.6819,202.3607,Lateral/Avenir_Standard_Right_Size_09_Lateral.svg
